timestamp,position
1563269086770871808,0.0
1563269086820871808,-0.0999999999999998
1563269086870871808,-0.19999999999999923
1563269086920871808,-0.2999999999999983
1563269086970871808,-0.39999999999999697
1563269087020871808,-0.49999999999999517
1563269087070871808,-0.599999999999993
1563269087120871808,-0.6999999999999907
1563269087170871808,-0.799999999999988
1563269087220871808,-0.8999999999999851
1563269087270871808,-0.9999999999999818
1563269087320871808,-1.099999999999978
1563269087370871808,-1.199999999999974
1563269087420871808,-1.2999999999999698
1563269087470871808,-1.399999999999965
1563269087520871808,-1.4999999999999603
1563269087570871808,-1.5999999999999552
1563269087620871808,-1.6999999999999498
1563269087670871808,-1.799999999999944
1563269087720871808,-1.8999999999999375
1563269087770871808,-1.9999999999999316
1563269087820871808,-2.099999999999925
1563269087870871808,-2.199999999999918
1563269087920871808,-2.29999999999991
1563269087970871808,-2.399999999999902
1563269088020871808,-2.499999999999895
1563269088070871808,-2.5999999999998873
1563269088120871808,-2.699999999999879
1563269088170871808,-2.7999999999998697
1563269088220871808,-2.899999999999861
1563269088270871808,-2.9999999999998512
1563269088320871808,-3.099999999999842
1563269088370871808,-3.1999999999998314
1563269088420871808,-3.2999999999998213
1563269088470871808,-3.3999999999998107
1563269088520871808,-3.499999999999801
1563269088570871808,-3.5999999999997905
1563269088620871808,-3.6999999999997795
1563269088670871808,-3.7999999999997685
1563269088720871808,-3.899999999999757
1563269088770871808,-3.9999999999997455
1563269088820871808,-4.099999999999733
1563269088870871808,-4.199999999999721
1563269088920871808,-4.299999999999709
1563269088970871808,-4.399999999999697
1563269089020871808,-4.499999999999683
1563269089070871808,-4.599999999999671
1563269089120871808,-4.699999999999659
1563269089170871808,-4.799999999999646
1563269089220871808,-4.8999999999996335
1563269089270871808,-4.99999999999962
1563269089320871808,-5.099999999999605
1563269089370871808,-5.19999999999959
1563269089420871808,-5.299999999999575
1563269089470871808,-5.39999999999956
1563269089520871808,-5.4999999999995435
1563269089570871808,-5.599999999999528
1563269089620871808,-5.699999999999513
1563269089670871808,-5.799999999999498
1563269089720871808,-5.8999999999994825
