timestamp,values
1563269086770871808,0.5
1563269086820871808,0.6545084971874737
1563269086870871808,0.7938926261462366
1563269086920871808,0.9045084971874737
1563269086970871808,0.9755282581475768
1563269087020871808,1.0
1563269087070871808,0.9755282581475768
1563269087120871808,0.9045084971874737
1563269087170871808,0.7938926261462367
1563269087220871808,0.6545084971874737
1563269087270871808,0.5000000000000001
1563269087320871808,0.34549150281252655
1563269087370871808,0.2061073738537635
1563269087420871808,0.09549150281252633
1563269087470871808,0.024471741852423234
1563269087520871808,0.0
1563269087570871808,0.02447174185242318
1563269087620871808,0.09549150281252622
1563269087670871808,0.20610737385376332
1563269087720871808,0.34549150281252616
1563269087770871808,0.0
1563269087820871808,0.1
1563269087870871808,0.2
1563269087920871808,0.3
1563269087970871808,0.4
1563269088020871808,0.5
1563269088070871808,0.6
1563269088120871808,0.7
1563269088170871808,0.8
1563269088220871808,0.9
1563269088270871808,1.0
1563269088320871808,0.8999999999999999
1563269088370871808,0.8
1563269088420871808,0.7
1563269088470871808,0.6000000000000001
1563269088520871808,0.5
1563269088570871808,0.3999999999999999
1563269088620871808,0.30000000000000004
1563269088670871808,0.19999999999999996
1563269088720871808,0.10000000000000009
1563269088770871808,1.0
1563269088820871808,1.0
1563269088870871808,1.0
1563269088920871808,1.0
1563269088970871808,1.0
1563269089020871808,1.0
1563269089070871808,1.0
1563269089120871808,1.0
1563269089170871808,1.0
1563269089220871808,1.0
1563269089270871808,0.0
1563269089320871808,0.0
1563269089370871808,0.0
1563269089420871808,0.0
1563269089470871808,0.0
1563269089520871808,0.0
1563269089570871808,0.0
1563269089620871808,0.0
1563269089670871808,0.0
1563269089720871808,0.0
